glioma_samples,test_accuracy_mean,test_accuracy_std,test_sensitivity_mean,test_sensitivity_std,test_specificity_mean,test_specificity_std
105,78.94389438943895,1.5107999472037763,80.55555555292302,4.813409824523676,77.29999999742333,3.198958163629387
211,84.8019801980198,1.2839985256830573,89.11764705591119,3.8760674258138548,80.39999999732,4.518275646024028
317,86.61716171617162,1.7540632305581152,90.52287581403519,2.777243743696161,82.63333333057889,4.041299143139904
422,85.67656765676568,1.3932796654774506,89.4117647029604,4.085185179242261,81.86666666393778,3.715831993845648
528,87.0957095709571,1.8552434749247775,90.22875816698598,2.661387472273343,83.89999999720332,3.5173292335871595
634,89.33993399339934,2.31833666304741,91.33986927806079,2.3527898764432837,87.29999999709,3.666498312511137
739,90.46204620462046,1.1995739998709773,91.24183006237772,2.530423949064946,89.66666666367777,3.0061665017817223
845,91.0891089108911,1.4902329135471997,90.42483659835213,2.300771189234782,91.76666666360778,2.2827858223591018
951,91.03960396039604,1.8260666391259992,91.9281045721592,1.5714239173223485,90.1333333303289,3.950933629177949
1057,93.74587458745876,1.6944015671098054,94.411764702797,1.7047147203854192,93.06666666356445,2.345471075825597
